"laterality","assessment","metric","position","age_group","athletes","age","date","value","mean_outlier_detect","sd_outlier_detect","Tmin","Tmax","is_outlier","sample_size_all_data","mean_value_all_data","sd_value_all_data","sample_size_age_data","mean_value_age_data","sd_value_age_data","sample_size_pos_data","mean_value_pos_data","sd_value_pos_data","sample_size_hand_data","mean_value_hand_data","sd_value_hand_data","zscore_all","zscore_age","zscore_hand","zscore_pos","percentile_all","percentile_age","percentile_hand","percentile_pos","last_value","value_change","pct_change","swc","was_significant","effect_size","effect_size_interpretation"
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 13",17,2010-04-01,158,158,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-1.6,-1.24,-1.6,-1.23,5.45,10.68,5.44,10.96,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Height (in)","Striker","17-21 year old","athlete 13",17,2010-04-01,70.5,70.5,NA,NA,NA,NA,31,72.13,2.47,9,72.61,3.48,6,70.42,2.25,29,72.3,2.45,-0.66,-0.61,-0.73,0.03,25.46,27.25,23.18,51.33,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 13",17,2010-04-08,158,158,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-1.6,-1.24,-1.6,-1.23,5.45,10.68,5.44,10.96,158,0,0,30.65,"Not Sig",NA,NA
"R","Anthropometry","Height (in)","Striker","17-21 year old","athlete 13",17,2010-04-08,70.5,70.5,NA,NA,NA,NA,31,72.13,2.47,9,72.61,3.48,6,70.42,2.25,29,72.3,2.45,-0.66,-0.61,-0.73,0.03,25.46,27.25,23.18,51.33,70.5,0,0,30.65,"Not Sig",0,"No Change"
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 13",17.5,2010-10-05,167.1,167.1,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-1.25,-0.79,-1.25,-0.64,10.57,21.59,10.59,26,158,9.1,5.76,30.65,"Not Sig",0.35,"Small"
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 13",18,2011-04-07,170.4,170.4,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-1.12,-0.62,-1.12,-0.43,13.1,26.75,13.14,33.32,167.1,3.3,1.97,30.65,"Not Sig",0.23,"Small"
"R","Anthropometry","Height (in)","Striker","17-21 year old","athlete 13",18,2011-04-07,70.25,70.25,NA,NA,NA,NA,31,72.13,2.47,9,72.61,3.48,6,70.42,2.25,29,72.3,2.45,-0.76,-0.68,-0.83,-0.08,22.33,24.92,20.19,46.9,70.5,-0.25,-0.35,30.65,"Not Sig",1.44,"Large"
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 13",18.6,2011-10-11,171,171,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-1.1,-0.59,-1.1,-0.39,13.6,27.75,13.64,34.74,170.4,0.6,0.35,30.65,"Not Sig",0.03,"Trivial"
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 13",18.9,2012-02-29,169.8,169.8,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-1.15,-0.65,-1.14,-0.47,12.61,25.77,12.65,31.93,171,-1.2,-0.7,30.65,"Not Sig",0.07,"Trivial"
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 13",18.9,2012-03-01,169.8,169.8,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-1.15,-0.65,-1.14,-0.47,12.61,25.77,12.65,31.93,169.8,0,0,30.65,"Not Sig",0.05,"Trivial"
"R","Anthropometry","Height (in)","Striker","17-21 year old","athlete 13",18.9,2012-03-01,70.5,70.5,NA,NA,NA,NA,31,72.13,2.47,9,72.61,3.48,6,70.42,2.25,29,72.3,2.45,-0.66,-0.61,-0.73,0.03,25.46,27.25,23.18,51.33,70.25,0.25,0.36,30.65,"Not Sig",0.1,"Trivial"
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 13",19,2012-03-12,169.8,169.8,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-1.15,-0.65,-1.14,-0.47,12.61,25.77,12.65,31.93,169.8,0,0,30.65,"Not Sig",0.01,"Trivial"
"R","Anthropometry","Height (in)","Striker","17-21 year old","athlete 13",19,2012-03-12,70.5,70.5,NA,NA,NA,NA,31,72.13,2.47,9,72.61,3.48,6,70.42,2.25,29,72.3,2.45,-0.66,-0.61,-0.73,0.03,25.46,27.25,23.18,51.33,70.5,0,0,30.65,"Not Sig",0,"No Change"
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 13",19.1,2012-05-10,172.3,172.3,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-1.05,-0.52,-1.05,-0.31,14.73,29.99,14.78,37.87,169.8,2.5,1.47,30.65,"Not Sig",0.1,"Trivial"
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 13",19.5,2012-09-13,173.9,173.9,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-0.99,-0.44,-0.98,-0.21,16.21,32.84,16.27,41.84,172.3,1.6,0.93,30.65,"Not Sig",0.03,"Trivial"
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 13",19.6,2012-10-11,177.3,177.3,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-0.85,-0.27,-0.85,0.01,19.66,39.23,19.75,50.51,173.9,3.4,1.96,30.65,"Not Sig",0.07,"Trivial"
"R","Anthropometry","Body Fat %","Defender","21-24 year old","athlete 18",22,2015-03-09,13.51,13.51,NA,NA,NA,NA,31,10.1,3.34,29,10.37,3.25,21,10.08,3.2,29,9.95,3.35,1.02,0.96,1.06,1.07,84.66,83.27,85.64,85.8,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Weight (lbs)","Defender","21-24 year old","athlete 18",22,2015-03-09,214.6,214.6,NA,NA,NA,NA,39,199.3,25.77,32,202.64,24.29,23,200.29,21.47,37,199.1,25.63,0.59,0.49,0.6,0.67,72.37,68.87,72.73,74.74,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Height (in)","Defender","21-24 year old","athlete 18",22,2015-03-09,73,73,NA,NA,NA,NA,31,72.13,2.47,25,71.99,2.1,20,72.88,2.33,29,72.3,2.45,0.35,0.48,0.29,0.05,63.72,68.43,61.29,51.99,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Fat %","Defender","21-24 year old","athlete 11",22.4,2016-02-27,11.14,11.14,NA,NA,NA,NA,31,10.1,3.34,29,10.37,3.25,21,10.08,3.2,29,9.95,3.35,0.31,0.24,0.36,0.33,62.27,59.32,63.9,62.97,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Fat %","Goalkeeper","21-24 year old","athlete 36",22.8,2016-02-27,8.87,8.87,NA,NA,NA,NA,31,10.1,3.34,29,10.37,3.25,3,12.98,4.34,29,9.95,3.35,-0.37,-0.46,-0.32,-0.95,35.67,32.19,37.34,17.21,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Weight (lbs)","Defender","21-24 year old","athlete 11",22.4,2016-02-27,221,221,NA,NA,NA,NA,39,199.3,25.77,32,202.64,24.29,23,200.29,21.47,37,199.1,25.63,0.84,0.76,0.85,0.96,80.01,77.5,80.36,83.26,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Weight (lbs)","Goalkeeper","21-24 year old","athlete 36",22.8,2016-02-27,176.8,176.8,NA,NA,NA,NA,39,199.3,25.77,32,202.64,24.29,3,222.07,45.2,37,199.1,25.63,-0.87,-1.06,-0.87,-1,19.12,14.37,19.21,15.83,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Height (in)","Defender","21-24 year old","athlete 11",22.4,2016-02-27,72,72,NA,NA,NA,NA,31,72.13,2.47,25,71.99,2.1,20,72.88,2.33,29,72.3,2.45,-0.05,0,-0.12,-0.38,47.87,50.11,45.19,35.2,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Height (in)","Goalkeeper","21-24 year old","athlete 36",22.8,2016-02-27,69.62,69.62,NA,NA,NA,NA,31,72.13,2.47,25,71.99,2.1,3,72.04,2.44,29,72.3,2.45,-1.01,-1.13,-1.09,-0.99,15.53,12.93,13.79,16.08,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Fat %","Striker","17-21 year old","athlete 32",18.3,2016-03-08,7.13,7.13,NA,NA,NA,NA,31,10.1,3.34,8,8.27,2.7,5,8.33,3.42,29,9.95,3.35,-0.89,-0.42,-0.84,-0.35,18.72,33.62,19.96,36.25,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Fat %","Defender","21-24 year old","athlete 18",23,2016-03-08,12.9,12.9,NA,NA,NA,NA,31,10.1,3.34,29,10.37,3.25,21,10.08,3.2,29,9.95,3.35,0.84,0.78,0.88,0.88,79.94,78.15,81.11,81.08,13.51,-0.61,-4.52,30.65,"Not Sig",NA,NA
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 32",18.3,2016-03-08,181.4,181.4,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-0.69,-0.07,-0.69,0.28,24.36,47.31,24.49,60.9,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Weight (lbs)","Defender","21-24 year old","athlete 18",23,2016-03-08,220.2,220.2,NA,NA,NA,NA,39,199.3,25.77,32,202.64,24.29,23,200.29,21.47,37,199.1,25.63,0.81,0.72,0.82,0.93,79.13,76.51,79.48,82.31,214.6,5.6,2.61,30.65,"Not Sig",NA,NA
"R","Anthropometry","Height (in)","Defender","21-24 year old","athlete 18",23,2016-03-08,73,73,NA,NA,NA,NA,31,72.13,2.47,25,71.99,2.1,20,72.88,2.33,29,72.3,2.45,0.35,0.48,0.29,0.05,63.72,68.43,61.29,51.99,73,0,0,30.65,"Not Sig",2.26,"XL"
"R","Anthropometry","Height (in)","Striker","17-21 year old","athlete 32",18.3,2016-03-08,72.12,72.12,NA,NA,NA,NA,31,72.13,2.47,9,72.61,3.48,6,70.42,2.25,29,72.3,2.45,0,-0.14,-0.07,0.76,49.88,44.48,47.21,77.5,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Fat %","Defender","17-21 year old","athlete 1",19,2016-04-12,9.43,9.43,NA,NA,NA,NA,31,10.1,3.34,8,8.27,2.7,21,10.08,3.2,29,9.95,3.35,-0.2,0.43,-0.16,-0.2,42.09,66.59,43.82,41.96,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Fat %","Defender","17-21 year old","athlete 28",20.6,2016-04-12,6.06,6.06,NA,NA,NA,NA,31,10.1,3.34,8,8.27,2.7,21,10.08,3.2,29,9.95,3.35,-1.21,-0.82,-1.16,-1.26,11.34,20.64,12.25,10.47,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Weight (lbs)","Defender","17-21 year old","athlete 1",19,2016-04-12,193,193,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,23,200.29,21.47,37,199.1,25.63,-0.24,0.52,-0.24,-0.34,40.34,69.7,40.59,36.71,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Weight (lbs)","Defender","17-21 year old","athlete 28",20.6,2016-04-12,160,160,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,23,200.29,21.47,37,199.1,25.63,-1.53,-1.14,-1.53,-1.88,6.36,12.65,6.35,3.03,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Height (in)","Defender","17-21 year old","athlete 28",20.6,2016-04-12,70,70,NA,NA,NA,NA,31,72.13,2.47,9,72.61,3.48,20,72.88,2.33,29,72.3,2.45,-0.86,-0.75,-0.94,-1.24,19.43,22.7,17.44,10.75,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Height (in)","Defender","17-21 year old","athlete 1",19,2016-04-12,74.25,74.25,NA,NA,NA,NA,31,72.13,2.47,9,72.61,3.48,20,72.88,2.33,29,72.3,2.45,0.86,0.47,0.8,0.59,80.41,68.13,78.72,72.15,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Fat %","Defender","21-24 year old","athlete 3",22.7,2016-04-20,7.99,7.99,NA,NA,NA,NA,31,10.1,3.34,29,10.37,3.25,21,10.08,3.2,29,9.95,3.35,-0.63,-0.73,-0.59,-0.65,26.41,23.18,27.9,25.7,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Weight (lbs)","Defender","21-24 year old","athlete 3",22.7,2016-04-20,213,213,NA,NA,NA,NA,39,199.3,25.77,32,202.64,24.29,23,200.29,21.47,37,199.1,25.63,0.53,0.43,0.54,0.59,70.25,66.5,70.62,72.3,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Height (in)","Defender","21-24 year old","athlete 3",22.7,2016-04-20,75,75,NA,NA,NA,NA,31,72.13,2.47,25,71.99,2.1,20,72.88,2.33,29,72.3,2.45,1.16,1.43,1.1,0.91,87.69,92.41,86.5,81.85,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Fat %","Goalkeeper","21-24 year old","athlete 36",23,2016-05-06,7.37,7.37,NA,NA,NA,NA,31,10.1,3.34,29,10.37,3.25,3,12.98,4.34,29,9.95,3.35,-0.82,-0.92,-0.77,-1.29,20.71,17.78,22.03,9.83,8.87,-1.5,-16.91,30.65,"Not Sig",NA,NA
"R","Anthropometry","Body Fat %","Defender","21-24 year old","athlete 18",23.2,2016-05-06,12.45,12.45,NA,NA,NA,NA,31,10.1,3.34,29,10.37,3.25,21,10.08,3.2,29,9.95,3.35,0.7,0.64,0.75,0.74,75.95,73.85,77.26,77.04,12.9,-0.45,-3.49,30.65,"Not Sig",0.31,"Small"
"R","Anthropometry","Body Fat %","Defender","21-24 year old","athlete 11",22.6,2016-05-06,12.72,12.72,NA,NA,NA,NA,31,10.1,3.34,29,10.37,3.25,21,10.08,3.2,29,9.95,3.35,0.79,0.72,0.83,0.82,78.39,76.48,79.62,79.52,11.14,1.58,14.18,30.65,"Not Sig",0.61,"Moderate"
"R","Anthropometry","Body Weight (lbs)","Goalkeeper","21-24 year old","athlete 36",23,2016-05-06,170,170,NA,NA,NA,NA,39,199.3,25.77,32,202.64,24.29,3,222.07,45.2,37,199.1,25.63,-1.14,-1.34,-1.14,-1.15,12.77,8.95,12.81,12.47,176.8,-6.8,-3.85,30.65,"Not Sig",0.33,"Small"
"R","Anthropometry","Body Weight (lbs)","Defender","21-24 year old","athlete 11",22.6,2016-05-06,229.8,229.8,NA,NA,NA,NA,39,199.3,25.77,32,202.64,24.29,23,200.29,21.47,37,199.1,25.63,1.18,1.12,1.2,1.37,88.17,86.82,88.45,91.53,221,8.8,3.98,30.65,"Not Sig",0.61,"Moderate"
"R","Anthropometry","Body Weight (lbs)","Defender","21-24 year old","athlete 18",23.2,2016-05-06,220.4,220.4,NA,NA,NA,NA,39,199.3,25.77,32,202.64,24.29,23,200.29,21.47,37,199.1,25.63,0.82,0.73,0.83,0.94,79.36,76.76,79.7,82.55,220.2,0.2,0.09,30.65,"Not Sig",0.33,"Small"
"R","Anthropometry","Body Fat %","Striker","17-21 year old","athlete 32",18.5,2016-06-01,6.43,6.43,NA,NA,NA,NA,31,10.1,3.34,8,8.27,2.7,5,8.33,3.42,29,9.95,3.35,-1.1,-0.68,-1.05,-0.56,13.61,24.76,14.64,28.88,7.13,-0.7,-9.82,30.65,"Not Sig",0.27,"Small"
"R","Anthropometry","Body Fat %","Defender","17-21 year old","athlete 1",19.1,2016-06-01,6.1,6.1,NA,NA,NA,NA,31,10.1,3.34,8,8.27,2.7,21,10.08,3.2,29,9.95,3.35,-1.2,-0.8,-1.15,-1.24,11.57,21.06,12.49,10.7,9.43,-3.33,-35.31,30.65,"Not Sig",0.79,"Moderate"
"R","Anthropometry","Body Weight (lbs)","Defender","17-21 year old","athlete 28",20.7,2016-06-01,162.6,162.6,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,23,200.29,21.47,37,199.1,25.63,-1.42,-1.01,-1.42,-1.76,7.72,15.57,7.72,3.96,160,2.6,1.62,30.65,"Not Sig",0.23,"Small"
"R","Anthropometry","Body Weight (lbs)","Defender","17-21 year old","athlete 1",19.1,2016-06-01,196,196,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,23,200.29,21.47,37,199.1,25.63,-0.13,0.67,-0.12,-0.2,44.9,74.75,45.19,42.08,193,3,1.55,30.65,"Not Sig",0.02,"Trivial"
"R","Anthropometry","Body Weight (lbs)","Striker","17-21 year old","athlete 32",18.5,2016-06-01,182,182,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,8,177.1,15.54,37,199.1,25.63,-0.67,-0.04,-0.67,0.32,25.09,48.52,25.23,62.37,181.4,0.6,0.33,30.65,"Not Sig",0.09,"Trivial"
"R","Anthropometry","Body Fat %","Defender","21-24 year old","athlete 24",22,2016-06-15,10.12,10.12,NA,NA,NA,NA,31,10.1,3.34,29,10.37,3.25,21,10.08,3.2,29,9.95,3.35,0.01,-0.08,0.05,0.01,50.28,46.9,52.03,50.5,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Weight (lbs)","Defender","21-24 year old","athlete 24",22,2016-06-15,224.8,224.8,NA,NA,NA,NA,39,199.3,25.77,32,202.64,24.29,23,200.29,21.47,37,199.1,25.63,0.99,0.91,1,1.14,83.88,81.91,84.2,87.32,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Height (in)","Defender","21-24 year old","athlete 24",22,2016-06-15,74,74,NA,NA,NA,NA,31,72.13,2.47,25,71.99,2.1,20,72.88,2.33,29,72.3,2.45,0.76,0.96,0.69,0.48,77.49,83.06,75.64,68.43,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Fat %","Striker","21-24 year old","athlete 8",21.9,2016-06-26,7.68,7.68,NA,NA,NA,NA,31,10.1,3.34,29,10.37,3.25,5,8.33,3.42,29,9.95,3.35,-0.72,-0.83,-0.68,-0.19,23.47,20.37,24.87,42.43,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Fat %","Center Field","21-24 year old","athlete 7",21.1,2016-06-26,11.88,11.88,NA,NA,NA,NA,31,10.1,3.34,29,10.37,3.25,2,10.37,2.14,29,9.95,3.35,0.53,0.46,0.58,0.71,70.33,67.85,71.8,76.02,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Weight (lbs)","Center Field","21-24 year old","athlete 7",21.1,2016-06-26,231.6,231.6,NA,NA,NA,NA,39,199.3,25.77,32,202.64,24.29,5,216.62,23.9,37,199.1,25.63,1.25,1.19,1.27,0.63,89.5,88.33,89.76,73.46,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Weight (lbs)","Striker","21-24 year old","athlete 8",21.9,2016-06-26,183.4,183.4,NA,NA,NA,NA,39,199.3,25.77,32,202.64,24.29,8,177.1,15.54,37,199.1,25.63,-0.62,-0.79,-0.61,0.41,26.85,21.41,27.01,65.74,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Fat %","Defender","17-21 year old","athlete 38",18.8,2016-07-02,6.24,6.24,NA,NA,NA,NA,31,10.1,3.34,8,8.27,2.7,21,10.08,3.2,29,9.95,3.35,-1.15,-0.75,-1.11,-1.2,12.41,22.59,13.37,11.52,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Weight (lbs)","Defender","17-21 year old","athlete 38",18.8,2016-07-02,198,198,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,23,200.29,21.47,37,199.1,25.63,-0.05,0.77,-0.04,-0.11,47.98,77.85,48.29,45.75,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Height (in)","Defender","17-21 year old","athlete 38",18.8,2016-07-02,77.62,77.62,NA,NA,NA,NA,31,72.13,2.47,9,72.61,3.48,20,72.88,2.33,29,72.3,2.45,2.22,1.44,2.17,2.04,98.68,92.51,98.51,97.92,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Fat %","Defender","17-21 year old","athlete 20",20.4,2016-07-07,8.8,8.8,NA,NA,NA,NA,31,10.1,3.34,8,8.27,2.7,21,10.08,3.2,29,9.95,3.35,-0.39,0.2,-0.34,-0.4,34.89,57.74,36.55,34.47,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Weight (lbs)","Defender","17-21 year old","athlete 20",20.4,2016-07-07,171.2,171.2,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,23,200.29,21.47,37,199.1,25.63,-1.09,-0.58,-1.09,-1.35,13.77,28.09,13.82,8.77,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Height (in)","Defender","17-21 year old","athlete 20",20.4,2016-07-07,71.75,71.75,NA,NA,NA,NA,31,72.13,2.47,9,72.61,3.48,20,72.88,2.33,29,72.3,2.45,-0.15,-0.25,-0.22,-0.49,43.86,40.27,41.18,31.3,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Fat %","Defender","21-24 year old","athlete 11",22.8,2016-07-20,16.09,16.09,NA,NA,NA,NA,31,10.1,3.34,29,10.37,3.25,21,10.08,3.2,29,9.95,3.35,1.79,1.76,1.84,1.88,96.36,96.07,96.68,96.97,12.72,3.37,26.49,30.65,"Not Sig",NA,NA
"R","Anthropometry","Body Fat %","Defender","21-24 year old","athlete 9",21.1,2016-07-20,13.15,13.15,NA,NA,NA,NA,31,10.1,3.34,29,10.37,3.25,21,10.08,3.2,29,9.95,3.35,0.91,0.85,0.96,0.96,81.97,80.35,83.06,83.12,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Weight (lbs)","Defender","21-24 year old","athlete 11",22.8,2016-07-20,240.4,240.4,NA,NA,NA,NA,39,199.3,25.77,32,202.64,24.29,23,200.29,21.47,37,199.1,25.63,1.6,1.55,1.61,1.87,94.47,93.99,94.65,96.91,229.8,10.6,4.61,30.65,"Not Sig",NA,NA
"R","Anthropometry","Body Weight (lbs)","Defender","21-24 year old","athlete 9",21.1,2016-07-20,203.4,203.4,NA,NA,NA,NA,39,199.3,25.77,32,202.64,24.29,23,200.29,21.47,37,199.1,25.63,0.16,0.03,0.17,0.14,56.32,51.24,56.66,55.76,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Height (in)","Defender","21-24 year old","athlete 9",21.1,2016-07-20,71,71,NA,NA,NA,NA,31,72.13,2.47,25,71.99,2.1,20,72.88,2.33,29,72.3,2.45,-0.46,-0.47,-0.53,-0.81,32.35,31.78,29.84,20.9,NA,NA,NA,30.65,NA,NA,NA
"R","Anthropometry","Body Fat %","Goalkeeper","21-24 year old","athlete 36",23.2,2016-08-10,6.74,6.74,NA,NA,NA,NA,31,10.1,3.34,29,10.37,3.25,3,12.98,4.34,29,9.95,3.35,-1,-1.12,-0.96,-1.44,15.74,13.19,16.86,7.54,7.37,-0.63,-8.55,30.65,"Not Sig",NA,NA
"R","Anthropometry","Body Weight (lbs)","Goalkeeper","21-24 year old","athlete 36",23.2,2016-08-10,165.2,165.2,NA,NA,NA,NA,39,199.3,25.77,32,202.64,24.29,3,222.07,45.2,37,199.1,25.63,-1.32,-1.54,-1.32,-1.26,9.28,6.16,9.3,10.42,170,-4.8,-2.82,30.65,"Not Sig",0.16,"Trivial"
"R","Anthropometry","Body Fat %","Defender","21-24 year old","athlete 18",23.4,2016-08-12,12.62,12.62,NA,NA,NA,NA,31,10.1,3.34,29,10.37,3.25,21,10.08,3.2,29,9.95,3.35,0.76,0.69,0.8,0.79,77.51,75.52,78.76,78.62,12.45,0.17,1.37,30.65,"Not Sig",1.49,"Large"
"R","Anthropometry","Body Weight (lbs)","Defender","21-24 year old","athlete 18",23.4,2016-08-12,218.4,218.4,NA,NA,NA,NA,39,199.3,25.77,32,202.64,24.29,23,200.29,21.47,37,199.1,25.63,0.74,0.65,0.75,0.84,77.07,74.17,77.43,80.05,220.4,-2,-0.91,30.65,"Not Sig",0.08,"Trivial"
"R","Anthropometry","Body Fat %","Defender","21-24 year old","athlete 9",21.2,2016-08-18,12.83,12.83,NA,NA,NA,NA,31,10.1,3.34,29,10.37,3.25,21,10.08,3.2,29,9.95,3.35,0.82,0.76,0.86,0.86,79.35,77.51,80.54,80.48,13.15,-0.32,-2.43,30.65,"Not Sig",0.5,"Small"
"R","Anthropometry","Body Fat %","Defender","21-24 year old","athlete 11",22.8,2016-08-18,13.81,13.81,NA,NA,NA,NA,31,10.1,3.34,29,10.37,3.25,21,10.08,3.2,29,9.95,3.35,1.11,1.06,1.15,1.17,86.69,85.48,87.57,87.8,16.09,-2.28,-14.17,30.65,"Not Sig",0.59,"Small"
"R","Anthropometry","Body Weight (lbs)","Defender","21-24 year old","athlete 11",22.8,2016-08-18,228.6,228.6,NA,NA,NA,NA,39,199.3,25.77,32,202.64,24.29,23,200.29,21.47,37,199.1,25.63,1.14,1.07,1.15,1.32,87.23,85.73,87.51,90.63,240.4,-11.8,-4.91,30.65,"Not Sig",0.37,"Small"
"R","Anthropometry","Body Weight (lbs)","Defender","21-24 year old","athlete 9",21.2,2016-08-18,209.4,209.4,NA,NA,NA,NA,39,199.3,25.77,32,202.64,24.29,23,200.29,21.47,37,199.1,25.63,0.39,0.28,0.4,0.42,65.24,60.95,65.61,66.43,203.4,6,2.95,30.65,"Not Sig",0.69,"Moderate"
"R","Anthropometry","Body Fat %","Defender","17-21 year old","athlete 1",19.3,2016-08-22,6.87,6.87,NA,NA,NA,NA,31,10.1,3.34,8,8.27,2.7,21,10.08,3.2,29,9.95,3.35,-0.97,-0.52,-0.92,-1,16.7,30.18,17.86,15.81,6.1,0.77,12.62,30.65,"Not Sig",1.57,"Large"
"R","Anthropometry","Body Weight (lbs)","Defender","17-21 year old","athlete 1",19.3,2016-08-22,197.8,197.8,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,23,200.29,21.47,37,199.1,25.63,-0.06,0.76,-0.05,-0.12,47.67,77.55,47.98,45.38,196,1.8,0.92,30.65,"Not Sig",0.04,"Trivial"
"R","Anthropometry","Body Weight (lbs)","Defender","17-21 year old","athlete 28",20.9,2016-08-22,162.6,162.6,NA,NA,NA,NA,39,199.3,25.77,10,182.74,19.89,23,200.29,21.47,37,199.1,25.63,-1.42,-1.01,-1.42,-1.76,7.72,15.57,7.72,3.96,162.6,0,0,30.65,"Not Sig",0.07,"Trivial"
"R","Anthropometry","Body Fat %","Defender","17-21 year old","athlete 20",20.5,2016-08-24,8.74,8.74,NA,NA,NA,NA,31,10.1,3.34,8,8.27,2.7,21,10.08,3.2,29,9.95,3.35,-0.41,0.17,-0.36,-0.42,34.23,56.87,35.88,33.79,8.8,-0.06,-0.68,30.65,"Not Sig",0.02,"Trivial"
"R","Anthropometry","Body Fat %","Defender","21-24 year old","athlete 24",22.2,2016-08-24,12.81,12.81,NA,NA,NA,NA,31,10.1,3.34,29,10.37,3.25,21,10.08,3.2,29,9.95,3.35,0.81,0.75,0.85,0.85,79.17,77.32,80.37,80.31,10.12,2.69,26.58,30.65,"Not Sig",0.82,"Moderate"
